m,k,n,fp16_latency (ms),fp8_latency (ms),rowwise_scaled_linear_sparse_cutlass_f8f8 latency (ms),cusparselt latency (ms),f8f8 speedup (d/s)
2048,8192,8192,353.37600111961365,243.77599358558655,160.7999950647354,624.9279975891113,1.5160199071364795
4096,8192,8192,778.5599827766418,496.67200446128845,360.3520095348358,638.1120085716248,1.3782967523961438
8192,8192,8192,1482.5279712677002,996.6719746589661,891.103982925415,861.1840009689331,1.118468768804041
