,fwd_M,fwd_K,fwd_N,r_bf16_gemm_s,r_fp8_gemm_s,r_fp8_ovhd_s,r_fp8_gemm_and_ovhd_s,r_fp8_gemm_and_ovhd_spdp,b_bf16_gemm_s,b_fp8_gemm_s,b_bf16_e2e_s,b_fp8_e2e_s,b_fp8_e2e_spdp,rb_bf16_gemm_ratio,rb_fp8_gemm_ratio
0,81920,7168,1536,0.0030835662637948716,0.0015417831318974358,0.0005902514086956523,0.002132034540593088,1.4463022080951309,0.0033719148,0.0017604212000000004,0.003316825599999999,0.003498345799999999,0.9481125622286968,0.9144852247734349,0.8758035474109466
1,81920,1536,24576,0.010572227190153848,0.005286113595076924,0.001774600904347826,0.00706071449942475,1.49733106911704,0.010955180999999998,0.005825767399999999,0.011623582599999998,0.011260869000000001,1.0322100896476103,0.965043588978936,0.907367773570384
2,81920,16384,7168,0.03289137348047863,0.016445686740239315,0.0016686035478260869,0.018114290288065403,1.81576937088996,0.0394296476,0.018058833,0.03878773140000001,0.027250197799999976,1.4233926551534992,0.8341787330728929,0.9106727295301593
3,81920,7168,576,0.001156337348923077,0.0005781686744615385,0.0005211645217391305,0.001099333196200669,1.0518533897815658,0.0016583224000000002,0.0010499352,0.0014248482000000008,0.0024546856000000014,0.5804605689624773,0.6972934508531494,0.5506708170766524
4,81920,512,32768,0.004698767640068376,0.002349383820034188,0.0022362022956521743,0.004585586115686362,1.0246820191632304,0.005583354799999999,0.0032270189999999994,0.0055895222000000005,0.0097348794,0.5741747761148434,0.8415670879572935,0.7280353230130311
5,81920,7168,18432,0.03700279516553846,0.01850139758276923,0.0018173417739130436,0.020318739356682276,1.8211166803204875,0.0419366168,0.0218051206,0.04276652899999999,0.030151567000000008,1.418384954917931,0.8823505086738056,0.84848866108859
6,81920,18432,7168,0.03700279516553846,0.01850139758276923,0.0018173417739130436,0.020318739356682276,1.8211166803204875,0.0410410722,0.021397204200000006,0.04282029300000001,0.031118509000000016,1.3760393532993496,0.9016040074493585,0.8646642528545494
7,81920,7168,18432,0.03700279516553846,0.01850139758276923,0.0018173417739130436,0.020318739356682276,1.8211166803204875,0.041111655,0.0216303474,0.04332308700000001,0.029076958600000008,1.4899456162516254,0.9000560830143779,0.8553444491959122
8,81920,7168,2048,0.004111421685059829,0.0020557108425299144,0.0006274359652173913,0.0026831468077473056,1.532313354300454,0.004484551,0.00234934,0.004372967600000001,0.004181215600000001,1.0458603474071033,0.9167967283814654,0.8750163205538212
9,81920,2048,7168,0.004111421685059829,0.0020557108425299144,0.0006274359652173913,0.0026831468077473056,1.532313354300454,0.0044221139999999996,0.0023510244000000003,0.004390674400000001,0.004197906599999997,1.0459199830696575,0.9297412244595751,0.8743894119218474
10,81920,7168,2048,0.004111421685059829,0.0020557108425299144,0.0006274359652173913,0.0026831468077473056,1.532313354300454,0.0044244748,0.0023390334000000005,0.004370167199999999,0.004178508600000002,1.0458677050467233,0.9292451355039538,0.8788719487844483
