second,gpu-preproc,fourth,furious,third,environ,batch-size,max,argmax,fail_count,load-exported-model,batch_size,points-per-batch,first,fifth,task,num-images,meta-folder,total_time,allow-recompiles,fast,median,bytes,p99,total_ms_per_img,experiment_name,total_img_s,p95,percentage,mean,baseline,miou,run_script_time,bytes_MiB,export-model,p999
81ms,,23ms,None,23ms,{'TORCHINDUCTOR_CACHE_DIR': '/home/cpuhrsch/blogs/tmp/sam2_amg_example_run_9/mps_furious_inductor_cache_dir'},8,2757ms,0,0.0,,8,,2757ms,20ms,mps,,/home/cpuhrsch/blogs/tmp/sam2_amg_example_run_9/amg_baseline_annotations,68.73721504211426s,,None,26ms,4915644416,1091ms,68.73721504211426ms,mps_ao_ppb_None_fast_furious,14.548159965272307img/s,51ms,4,63ms,,0.9962591808736324,74.1839828491211,4687,,2577ms
,,,None,,{'TORCHINDUCTOR_CACHE_DIR': '/home/cpuhrsch/blogs/tmp/sam2_amg_example_run_9/mps_furious_inductor_cache_dir'},8,,,,,8,,,,mps,0,/home/cpuhrsch/blogs/tmp/sam2_amg_example_run_9/amg_baseline_annotations,360.8992667198181s,,,,2014025216,,,mps_ao_ppb_None_save_export_furious,0.0img/s,,1,,,,367.94984197616577,1920,/home/cpuhrsch/blogs/tmp/sam2_amg_example_run_9/exported_models/mps_ao_fast_furious,
104ms,,40ms,None,106ms,{'TORCHINDUCTOR_CACHE_DIR': '/home/cpuhrsch/blogs/tmp/sam2_amg_example_run_9/mps_load_export_furious_inductor_cache_dir'},8,218ms,0,0.0,/home/cpuhrsch/blogs/tmp/sam2_amg_example_run_9/exported_models/mps_ao_fast_furious,8,,218ms,47ms,mps,,/home/cpuhrsch/blogs/tmp/sam2_amg_example_run_9/amg_baseline_annotations,91.52135801315308s,,,66ms,22206346240,166ms,91.52135801315308ms,mps_ao_ppb_None_load_export_furious_cold,10.92641129577955img/s,160ms,21,84ms,,0.9957185313105583,95.63910341262817,21177,,211ms
144ms,,160ms,None,145ms,{'TORCHINDUCTOR_CACHE_DIR': '/home/cpuhrsch/blogs/tmp/sam2_amg_example_run_9/mps_load_export_furious_inductor_cache_dir'},8,201ms,0,0.0,/home/cpuhrsch/blogs/tmp/sam2_amg_example_run_9/exported_models/mps_ao_fast_furious,8,,201ms,108ms,mps,,/home/cpuhrsch/blogs/tmp/sam2_amg_example_run_9/amg_baseline_annotations,64.00575566291809s,,,43ms,22206346240,162ms,64.00575566291809ms,mps_ao_ppb_None_load_export_furious,15.6235949352185img/s,145ms,21,56ms,,0.9957185313105583,67.92890572547913,21177,,196ms
25ms,None,23ms,None,32ms,{'TORCHINDUCTOR_CACHE_DIR': '/home/cpuhrsch/blogs/tmp/sam2_amg_example_run_9/mps_load_export_furious_inductor_cache_dir'},8,208ms,0,0.0,/home/cpuhrsch/blogs/tmp/sam2_amg_example_run_9/exported_models/mps_ao_fast_furious,8,,208ms,23ms,mps,,/home/cpuhrsch/blogs/tmp/sam2_amg_example_run_9/amg_baseline_annotations,31.849828958511353s,,,24ms,22420810752,31ms,31.84982895851135ms,mps_ao_ppb_None_load_export_furious_gpu_preproc,31.39734286493762img/s,26ms,21,26ms,,0.92340348927991,36.47192668914795,21382,,186ms
75ms,,37ms,None,30ms,{'TORCHINDUCTOR_CACHE_DIR': '/home/cpuhrsch/blogs/tmp/sam2_amg_example_run_9/mps_fast_export_furious_inductor_cache_dir'},8,5737ms,0,0.0,/home/cpuhrsch/blogs/tmp/sam2_amg_example_run_9/exported_models/mps_ao_fast_furious,8,,5737ms,28ms,mps,,/home/cpuhrsch/blogs/tmp/sam2_amg_example_run_9/amg_baseline_annotations,148.71721148490906s,,None,29ms,22207585792,4449ms,148.71721148490906ms,mps_ao_ppb_None_fast_export_furious_cold,6.724171264477173img/s,64ms,21,142ms,,0.9962784340977668,155.98502492904663,21178,,5620ms
28ms,,23ms,None,23ms,{'TORCHINDUCTOR_CACHE_DIR': '/home/cpuhrsch/blogs/tmp/sam2_amg_example_run_9/mps_fast_export_furious_inductor_cache_dir'},8,1220ms,0,0.0,/home/cpuhrsch/blogs/tmp/sam2_amg_example_run_9/exported_models/mps_ao_fast_furious,8,,1220ms,20ms,mps,,/home/cpuhrsch/blogs/tmp/sam2_amg_example_run_9/amg_baseline_annotations,57.668012857437134s,,None,28ms,22207585792,854ms,57.668012857437134ms,mps_ao_ppb_None_fast_export_furious,17.34063565658367img/s,53ms,21,52ms,,0.9962784340977668,62.914007902145386,21178,,1191ms
31ms,,26ms,None,25ms,{'TORCHINDUCTOR_CACHE_DIR': '/home/cpuhrsch/blogs/tmp/sam2_amg_example_run_9/mps_fast_export_furious_inductor_cache_dir'},8,3039ms,0,0.0,/home/cpuhrsch/blogs/tmp/sam2_amg_example_run_9/exported_models/mps_ao_fast_furious,8,,3039ms,22ms,mps,,/home/cpuhrsch/blogs/tmp/sam2_amg_example_run_9/amg_baseline_annotations,101.11074328422546s,None,None,38ms,22207585792,1428ms,101.11074328422546ms,mps_ao_ppb_None_fast_export_furious_recompiles,9.89014586896042img/s,132ms,21,95ms,,0.9952784979598446,106.58949828147888,21178,,2840ms
16ms,None,16ms,None,17ms,{'TORCHINDUCTOR_CACHE_DIR': '/home/cpuhrsch/blogs/tmp/sam2_amg_example_run_9/mps_fast_export_furious_inductor_cache_dir'},8,1294ms,0,0.0,/home/cpuhrsch/blogs/tmp/sam2_amg_example_run_9/exported_models/mps_ao_fast_furious,8,,1294ms,15ms,mps,,/home/cpuhrsch/blogs/tmp/sam2_amg_example_run_9/amg_baseline_annotations,45.64724898338318s,,None,17ms,22423023616,864ms,45.64724898338318ms,mps_ao_ppb_None_fast_export_furious_gpu_preproc,21.907125232541983img/s,20ms,21,38ms,,0.92325488954701,51.15779972076416,21384,,1257ms
16ms,None,16ms,None,17ms,{'TORCHINDUCTOR_CACHE_DIR': '/home/cpuhrsch/blogs/tmp/sam2_amg_example_run_9/mps_fast_export_furious_inductor_cache_dir'},8,1422ms,0,0.0,/home/cpuhrsch/blogs/tmp/sam2_amg_example_run_9/exported_models/mps_ao_fast_furious,8,,1422ms,15ms,mps,,/home/cpuhrsch/blogs/tmp/sam2_amg_example_run_9/amg_baseline_annotations,45.13401436805725s,None,None,16ms,22421513728,835ms,45.13401436805725ms,mps_ao_ppb_None_fast_export_furious_gpu_preproc_recompiles,22.156238792437907img/s,19ms,21,39ms,,0.922255623459001,50.839953660964966,21382,,1363ms
